os,dtime,ip,local,gaid,adsid,reqid,up_price,correct_price,pkg_name,bid_id,bid_imp_id
0,2023-08-14 02:37:29,186.216.157.40,BR,d92558c0-f69f-4117-b529-95528ddd7562,106815995,f9f31f83-8443-4446-882d-8c970e8cac34,1.3784,1.3784,com.quizmoli.android.million,4782689139583653525,5
0,2023-08-14 02:37:29,186.216.157.40,BR,d92558c0-f69f-4117-b529-95528ddd7562,106815995,f9f31f83-8443-4446-882d-8c970e8cac34,1.1832,1.1832,com.lucky.rabbit.slotgame,4782689139583653525,6
0,2023-08-14 04:02:59,45.236.69.229,BR,05702de6-dab9-42e0-b3c3-cb5871a735a6,106815995,f9edbcb8-53f5-4afe-b817-17776ea34dfa,2.0288,2.0288,daoijg.pjosdjg.n42gbfhb,4782694671507804549,2
0,2023-08-14 23:06:43,45.182.193.167,BR,91f77578-4ffb-4c66-9996-e207fa139969,106815995,f9ec455c-ff35-4144-a8c3-a73aeb921b78,1.8312,1.8312,com.bverbera.vdeumw,4782768369925367006,2
0,2023-08-14 23:06:31,45.182.193.167,BR,91f77578-4ffb-4c66-9996-e207fa139969,106815995,f9ec455c-ff35-4144-a8c3-a73aeb921b78,1.5808,1.5808,post.uhsgewqcodtx.oamv,4782768369925367006,3
0,2023-08-14 23:06:52,45.182.193.167,BR,91f77578-4ffb-4c66-9996-e207fa139969,106815995,f9ec455c-ff35-4144-a8c3-a73aeb921b78,2.648,2.648,com.sdyn.makemoney,4782768369925367006,1
0,2023-08-14 04:58:43,177.170.43.43,BR,a35f189d-23d1-4151-a41b-aea6ed44687d,106815995,f9e1900b-136c-4148-af1e-60bae7cf1a32,4.1656,4.1656,com.luckyplaygames.lucky,4782698279278226948,2
0,2023-08-14 23:14:52,200.219.16.128,BR,77967db9-ba06-4ab7-b4c0-874ca09f920a,106815995,f9dc7d80-875b-4e73-bb93-810fa21b7df2,1.2608,1.2608,com.slotssecre.ttreasures,4782768890688103834,1
0,2023-08-14 23:14:50,200.219.16.128,BR,77967db9-ba06-4ab7-b4c0-874ca09f920a,106815995,f9dc7d80-875b-4e73-bb93-810fa21b7df2,0.9856,0.9856,com.quizmoli.android.million,4782768890688103834,4
0,2023-08-14 23:14:42,200.219.16.128,BR,77967db9-ba06-4ab7-b4c0-874ca09f920a,106815995,f9dc7d80-875b-4e73-bb93-810fa21b7df2,0.9144,0.9144,com.block.juggle,4782768890688103834,2
0,2023-08-14 07:58:27,177.170.145.145,BR,bca4a592-6a78-451b-94fe-b032ab47d606,106815995,f9dbe5de-0d8a-4125-8247-ea9083b313b7,2.036,2.036,com.risil.frwlbr31ju,4782709866022054223,5
0,2023-08-14 07:58:28,177.170.145.145,BR,bca4a592-6a78-451b-94fe-b032ab47d606,106815995,f9dbe5de-0d8a-4125-8247-ea9083b313b7,2.216,2.216,com.lucky.rabbit.slotgame,4782709866022054223,2
0,2023-08-14 07:58:27,177.170.145.145,BR,bca4a592-6a78-451b-94fe-b032ab47d606,106815995,f9dbe5de-0d8a-4125-8247-ea9083b313b7,1.7768,1.7768,com.flip.puzzle.ball,4782709866022054223,9
0,2023-08-14 10:29:22,191.30.89.1,BR,e6060c02-f774-4dd7-850c-b9cc20b7cfee,106815995,f9d62ea4-e106-4598-ac00-b363f97e01ed,3.9776,3.9776,com.mathraddleguessing,4782719579093745513,3
0,2023-08-14 21:05:54,45.70.150.73,BR,aff58f1b-81c1-4d4e-b7bf-1e1cbdeea243,106815995,f9d40fa3-790d-4f65-83b9-34fc5a874589,5.1456,5.1456,com.pagcorsolaire.evclube,4782760570263730902,3
0,2023-08-14 21:05:54,45.70.150.73,BR,aff58f1b-81c1-4d4e-b7bf-1e1cbdeea243,106815995,f9d40fa3-790d-4f65-83b9-34fc5a874589,6.2192,6.2192,com.home.casion.crash.android,4782760570263730902,2
0,2023-08-14 08:22:20,189.40.88.223,BR,70e84c45-8048-4b55-86cc-a079847c59ab,106815995,f9d3c2aa-029c-4236-ade4-0e96209680d1,0.6464,0.6464,com.quizmoli.android.million,4782711385373081851,4
0,2023-08-14 07:23:09,179.125.240.125,BR,e4165236-6d67-4627-baf0-3a01386b5853,106815995,f9c5541b-dbc7-4f72-aefb-a71caee40a23,1.5376,1.5376,top.happy.chip.winner.erling.game,4782707609016731162,4
0,2023-08-14 07:23:09,179.125.240.125,BR,e4165236-6d67-4627-baf0-3a01386b5853,106815995,f9c5541b-dbc7-4f72-aefb-a71caee40a23,2.3704,2.3704,com.bubbleboxes.match3d,4782707609016731162,2
0,2023-08-14 11:32:37,179.251.149.204,BR,8e3be22c-d826-4094-beef-562ff2f257b9,106815995,f9c31a9b-0a7e-440e-8d65-18bcc494c021,0.5512,0.5512,com.yk1ak2,4782723606696279707,4
0,2023-08-14 06:07:45,45.233.186.14,BR,35c4faae-036f-4882-b77d-0dbc312c022a,106815995,f9bd35c3-1500-425c-8d49-f50261dd3b9c,1.7976,1.7976,com.lucky.rabbit.slotgame,4782702726712671336,5
0,2023-08-14 06:07:44,45.233.186.14,BR,35c4faae-036f-4882-b77d-0dbc312c022a,106815995,f9bd35c3-1500-425c-8d49-f50261dd3b9c,1.6888,1.6888,com.wheelgb.lappliw,4782702726712671336,3
0,2023-08-14 00:44:33,45.162.57.132,BR,c96fd465-1575-410f-83a6-1ffe4b8cbf40,106815995,f9b6c29c-aef3-4bb8-a20e-e056c004a7ec,2.0,2.0,com.royal.minecassino,4782681917596115875,2
0,2023-08-14 21:41:46,168.232.197.125,BR,77279f87-937c-4db4-914c-d533392a5f6d,106815995,f9b1c66d-c1f9-4172-8136-5a8f659e62cc,2.6856,2.6856,in.sweatco.app,4782762900283465729,2
